Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30629.28,2023-07-03 12:52:21.612401,30635.86,2023-07-03 12:58:05.611040,0.6580000000001747,2G,30,0.02,-10,15,30,5,15,5,30,10,4.3293479999999995
30638.91,2023-07-03 12:58:31.769634,30649.4,2023-07-03 12:59:06.664058,1.04900000000016,2G,30,0.02,-10,15,30,5,15,5,30,10,3.992228
30656.1,2023-07-03 12:59:28.654994,30670.45,2023-07-03 13:01:48.518676,1.4350000000002183,2G,30,0.02,-10,15,30,5,15,5,30,10,3.785862
30640.02,2023-07-03 13:15:44.936812,30641.89,2023-07-03 13:18:13.523318,0.18699999999989814,2G,30,0.02,-10,15,30,5,15,5,30,10,2.967259
30634.45,2023-07-03 13:19:06.193113,30639.27,2023-07-03 13:22:15.016148,0.4819999999999709,2G,30,0.02,-10,15,30,5,15,5,30,10,4.272213
30629.42,2023-07-03 13:27:25.635428,30636.79,2023-07-03 13:28:40.311040,0.737000000000262,2G,30,0.02,-10,15,30,5,15,5,30,10,3.654153
30629.93,2023-07-03 13:29:45.660030,30635.37,2023-07-03 13:31:35.078663,0.543999999999869,2G,30,0.02,-10,15,30,5,15,5,30,10,3.786686
30620.64,2023-07-03 13:33:06.510147,30631.95,2023-07-03 13:34:51.490254,1.131000000000131,2G,30,0.02,-10,15,30,5,15,5,30,10,4.301548
30620.01,2023-07-03 13:37:47.794487,30626.34,2023-07-03 13:38:00.086225,0.6330000000001746,2G,30,0.02,-10,15,30,5,15,5,30,10,26.348621
30627.15,2023-07-03 13:38:04.469938,30629.75,2023-07-03 13:40:10.563897,0.2599999999998545,2G,30,0.02,-10,15,30,5,15,5,30,10,4.890179
30637.08,2023-07-03 13:40:15.919244,30644.21,2023-07-03 13:42:34.909757,0.7129999999997381,2G,30,0.02,-10,15,30,5,15,5,30,10,9.357328
30646.4,2023-07-03 13:43:57.805951,30666.04,2023-07-03 13:46:04.493851,1.9639999999999418,1G,30,0.02,-10,15,30,5,15,5,30,10,4.375536
30680.42,2023-07-03 13:46:40.893837,30688.24,2023-07-03 13:47:09.952533,0.7820000000003348,2G,30,0.02,-10,15,30,5,15,5,30,10,4.344735
30636.85,2023-07-03 13:55:42.040198,30646.07,2023-07-03 13:56:56.330797,0.9220000000001165,2G,30,0.02,-10,15,30,5,15,5,30,10,3.567466
30647.22,2023-07-03 13:57:05.239205,30654.92,2023-07-03 13:57:40.054584,0.769999999999709,2G,30,0.02,-10,15,30,5,15,5,30,10,3.8175470000000002
30643.49,2023-07-03 13:59:04.164718,30655.34,2023-07-03 14:00:04.884984,1.1849999999998546,1G,30,0.02,-10,15,30,5,15,5,30,10,26.030865
30666.1,2023-07-03 14:00:39.838421,30680.82,2023-07-03 14:01:10.287847,1.4720000000001165,1G,30,0.02,-10,15,30,5,15,5,30,10,4.51531
30663.27,2023-07-03 14:02:03.024015,30672.85,2023-07-03 14:02:42.443682,0.9579999999998109,2G,30,0.02,-10,15,30,5,15,5,30,10,2.66683
30675.07,2023-07-03 14:02:46.879936,30682.9,2023-07-03 14:03:08.487022,0.7830000000001747,2G,30,0.02,-10,15,30,5,15,5,30,10,4.047862
30683.78,2023-07-03 14:03:09.337935,30696.02,2023-07-03 14:07:54.014287,1.22400000000016,2G,30,0.02,-10,15,30,5,15,5,30,10,26.232118
30697.52,2023-07-03 14:08:20.516775,30702.82,2023-07-03 14:10:53.034678,0.5299999999999273,2G,30,0.02,-10,15,30,5,15,5,30,10,3.167447
30676.67,2023-07-03 14:12:59.835337,30678.93,2023-07-03 14:15:19.719540,0.22600000000020373,2G,30,0.02,-10,15,30,5,15,5,30,10,3.028863
30675.47,2023-07-03 14:16:03.228402,30680.9,2023-07-03 14:16:42.641378,0.5430000000000291,2G,30,0.02,-10,15,30,5,15,5,30,10,3.708024
30683.94,2023-07-03 14:17:06.556849,30698.06,2023-07-03 14:17:33.254809,1.412000000000262,1G,30,0.02,-10,15,30,5,15,5,30,10,2.639387
30683.55,2023-07-03 14:19:13.622352,30689.02,2023-07-03 14:23:27.293876,0.5470000000001164,2G,30,0.02,-10,15,30,5,15,5,30,10,3.657988
30690.43,2023-07-03 14:24:02.096935,30698.71,2023-07-03 14:25:38.463964,0.8279999999998836,2G,30,0.02,-10,15,30,5,15,5,30,10,3.431659
30684.44,2023-07-03 14:26:56.830446,30690.16,2023-07-03 14:28:06.867401,0.5720000000001164,2G,30,0.02,-10,15,30,5,15,5,30,10,3.916894
30660.84,2023-07-03 14:30:35.564447,30675.8,2023-07-03 14:31:02.004404,1.4959999999999127,1G,30,0.02,-10,15,30,5,15,5,30,10,3.408191
30679.1,2023-07-03 14:32:12.004654,30694.4,2023-07-03 14:33:00.246379,1.5300000000002911,1G,30,0.02,-10,15,30,5,15,5,30,10,4.489376
30701.76,2023-07-03 14:33:47.930790,30710.05,2023-07-03 14:34:09.709103,0.8290000000000873,2G,30,0.02,-10,15,30,5,15,5,30,10,2.946771
30683.38,2023-07-03 14:37:13.780060,30692.87,2023-07-03 14:38:06.385521,0.9489999999997963,2G,30,0.02,-10,15,30,5,15,5,30,10,4.057789
30697.54,2023-07-03 14:38:19.223098,30699.79,2023-07-03 14:41:01.300143,0.225,1G,30,0.02,-10,15,30,5,15,5,30,10,4.544765
30728.66,2023-07-03 14:41:07.377459,30734.27,2023-07-03 14:41:40.874404,0.5610000000000582,2G,30,0.02,-10,15,30,5,15,5,30,10,14.034055
30746.07,2023-07-03 14:42:19.974334,30749.78,2023-07-03 14:42:59.227071,0.37099999999991273,2G,30,0.02,-10,15,30,5,15,5,30,10,4.362078
30745.97,2023-07-03 14:43:56.203531,30753.7,2023-07-03 14:44:31.067095,0.7729999999999564,2G,30,0.02,-10,15,30,5,15,5,30,10,4.024487
30712.09,2023-07-03 14:47:03.838762,30721.94,2023-07-03 14:49:03.124901,0.9849999999998545,2G,30,0.02,-10,15,30,5,15,5,30,10,3.123713
30712.18,2023-07-03 14:50:18.778506,30720.85,2023-07-03 14:53:13.943064,0.8669999999998255,2G,30,0.02,-10,15,30,5,15,5,30,10,7.811255
30712.32,2023-07-03 14:54:02.781818,30730.01,2023-07-03 14:54:19.699884,1.7689999999998691,1G,30,0.02,-10,15,30,5,15,5,30,10,22.227535
30717.73,2023-07-03 14:56:13.588309,30723.03,2023-07-03 14:59:26.191847,0.5299999999999273,2G,30,0.02,-10,15,30,5,15,5,30,10,3.278077
30723.84,2023-07-03 14:59:30.539621,30741.15,2023-07-03 15:00:05.703657,1.731000000000131,1G,30,0.02,-10,15,30,5,15,5,30,10,3.805538
30744.9,2023-07-03 15:01:19.917945,30800.84,2023-07-03 15:01:50.932290,5.59399999999987,3G,30,0.02,-10,15,30,5,15,5,30,10,3.6669140000000002
