Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30672.93,2023-07-03 06:25:31.179612,30637.31,2023-07-03 06:25:32.114842,-3.561999999999898,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,10.686499
30672.93,2023-07-03 06:25:35.274669,30636.55,2023-07-03 06:25:36.118104,-3.638000000000102,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,14.521193
30672.93,2023-07-03 06:25:39.286899,30637.29,2023-07-03 06:25:40.107755,-3.563999999999942,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,18.53726
30672.93,2023-07-03 06:25:42.894398,30636.51,2023-07-03 06:25:43.725555,-3.6420000000001895,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,22.406448
30672.93,2023-07-03 06:25:46.777025,30640.55,2023-07-03 06:25:47.682442,-3.238000000000102,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,26.018231
30672.93,2023-07-03 06:25:50.613233,30640.63,2023-07-03 06:25:51.216540,-3.2299999999999276,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,29.848047
30672.93,2023-07-03 06:25:54.276545,30640.93,2023-07-03 06:25:55.173044,-3.2,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,33.526262
30672.93,2023-07-03 06:25:58.269831,30647.31,2023-07-03 06:25:59.121084,-2.561999999999898,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,37.516909
30672.93,2023-07-03 06:26:02.051188,30647.35,2023-07-03 06:26:02.883222,-2.558000000000175,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,41.297352
30672.93,2023-07-03 06:26:05.903652,30647.26,2023-07-03 06:26:06.490789,-2.5670000000001894,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,45.153695
30672.93,2023-07-03 06:26:09.408308,30646.48,2023-07-03 06:26:10.016473,-2.645000000000073,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,48.652937
30672.93,2023-07-03 06:44:53.732335,30659.95,2023-07-03 06:44:54.576097,-1.2979999999999565,1P,60,0.02,-10,15,30,5,15,5,30,10,8.276054
30672.93,2023-07-03 06:44:57.626937,30658.71,2023-07-03 06:44:58.466770,-1.4220000000001165,1P,60,0.02,-10,15,30,5,15,5,30,10,12.074758
30672.93,2023-07-03 06:45:01.596702,30659.97,2023-07-03 06:45:02.424994,-1.2959999999999128,1P,60,0.02,-10,15,30,5,15,5,30,10,16.044393
30672.93,2023-07-03 06:45:05.846060,30659.9,2023-07-03 06:45:06.703662,-1.3029999999998836,1P,60,0.02,-10,15,30,5,15,5,30,10,20.296857
30672.93,2023-07-03 06:45:09.655692,30658.76,2023-07-03 06:45:10.491067,-1.4170000000001892,1P,60,0.02,-10,15,30,5,15,5,30,10,24.10549
30672.93,2023-07-03 06:46:55.163532,30644.29,2023-07-03 06:46:55.996228,-2.863999999999942,1P,60,0.02,-10,15,30,5,15,5,30,10,7.984602
30672.93,2023-07-03 06:46:59.252020,30643.98,2023-07-03 06:47:00.079658,-2.895000000000073,1P,60,0.02,-10,15,30,5,15,5,30,10,11.805882
30672.93,2023-07-03 06:47:03.133979,30645.81,2023-07-03 06:47:03.976476,-2.7119999999998985,1P,60,0.02,-10,15,30,5,15,5,30,10,15.686823
30672.93,2023-07-03 06:47:10.833163,30645.8,2023-07-03 06:47:11.713411,-2.713000000000102,1P,60,0.02,-10,15,30,5,15,5,30,10,23.660398
30661.56,2023-07-03 07:03:31.988318,30658.14,2023-07-03 07:05:54.459391,-0.3420000000001892,1P,30,0.02,-10,15,30,5,15,5,30,10,3.595749
30658.0,2023-07-03 07:06:26.599106,30647.68,2023-07-03 07:07:15.532509,-1.031999999999971,1P,30,0.02,-10,15,30,5,15,5,30,10,4.098178
30687.84,2023-07-03 07:20:08.577876,30673.67,2023-07-03 07:20:30.346695,-1.4170000000001892,1P,30,0.02,-10,15,30,5,15,5,30,10,4.934443
30678.69,2023-07-03 07:22:26.014200,30676.94,2023-07-03 07:22:29.930510,-0.17500000000000002,2G,30,0.02,-10,15,30,5,15,5,30,10,12.187358
30689.44,2023-07-03 07:29:08.052866,30689.29,2023-07-03 07:29:16.899720,-0.014999999999781723,2G,30,0.02,-10,15,30,5,15,5,30,10,3.345381
30693.72,2023-07-03 07:29:17.813376,30688.47,2023-07-03 07:29:18.652765,-0.525,2G,30,0.02,-10,15,30,5,15,5,30,10,12.86311
30699.93,2023-07-03 07:29:19.488883,30688.36,2023-07-03 07:29:20.952891,-1.156999999999971,1G,30,0.02,-10,15,30,5,15,5,30,10,14.536159
30720.03,2023-07-03 07:29:21.516668,30703.42,2023-07-03 07:30:22.187504,-1.6610000000000582,1P,30,0.02,-10,15,30,5,15,5,30,10,16.827224
30689.35,2023-07-03 07:31:32.699849,30677.46,2023-07-03 07:32:03.425428,-1.1889999999999419,1P,30,0.02,-10,15,30,5,15,5,30,10,4.182777
30679.0,2023-07-03 07:32:16.910425,30671.48,2023-07-03 07:33:44.130808,-0.7520000000000437,1P,30,0.02,-10,15,30,5,15,5,30,10,3.189259
30728.16,2023-07-03 07:37:14.758345,30717.8,2023-07-03 07:37:40.523649,-1.0360000000000582,1P,30,0.02,-10,15,30,5,15,5,30,10,4.666865
30748.61,2023-07-03 07:40:09.019540,30743.99,2023-07-03 07:40:09.864785,-0.46199999999989816,2G,30,0.02,-10,15,30,5,15,5,30,10,4.303031
30758.05,2023-07-03 07:40:18.870434,30740.78,2023-07-03 07:40:57.230310,-1.7270000000000438,1P,30,0.02,-10,15,30,5,15,5,30,10,13.888422
30731.92,2023-07-03 07:41:38.626893,30723.68,2023-07-03 07:45:17.501417,-0.8239999999997963,1P,30,0.02,-10,15,30,5,15,5,30,10,2.847381
30722.64,2023-07-03 07:45:18.334371,30711.36,2023-07-03 07:48:29.943099,-1.1279999999998835,1P,30,0.02,-10,15,30,5,15,5,30,10,26.743492
30713.98,2023-07-03 07:48:56.198052,30706.52,2023-07-03 07:49:31.156016,-0.7459999999999127,1P,30,0.02,-10,15,30,5,15,5,30,10,3.488767
30700.86,2023-07-03 07:50:01.791172,30693.33,2023-07-03 07:50:36.706801,-0.7529999999998837,1P,30,0.02,-10,15,30,5,15,5,30,10,4.223392
30693.35,2023-07-03 07:50:37.570722,30679.27,2023-07-03 07:52:39.861514,-1.407999999999811,1P,30,0.02,-10,15,30,5,15,5,30,10,8.75329
30679.64,2023-07-03 07:53:02.611423,30669.28,2023-07-03 07:54:21.142538,-1.0360000000000582,1P,30,0.02,-10,15,30,5,15,5,30,10,4.261712
30669.44,2023-07-03 07:54:38.726705,30657.42,2023-07-03 07:56:41.223418,-1.2020000000000437,1P,30,0.02,-10,15,30,5,15,5,30,10,4.195928
30667.23,2023-07-03 08:00:25.174891,30650.45,2023-07-03 08:01:55.850766,-1.6779999999998836,1P,30,0.02,-10,15,30,5,15,5,30,10,4.474406
30689.6,2023-07-03 08:10:15.592763,30678.22,2023-07-03 08:11:12.323845,-1.137999999999738,1P,30,0.02,-10,15,30,5,15,5,30,10,4.3886
30688.57,2023-07-03 08:13:18.961243,30679.69,2023-07-03 08:14:24.689730,-0.8880000000001019,1P,30,0.02,-10,15,30,5,15,5,30,10,3.382109
30692.78,2023-07-03 08:17:14.912598,30687.61,2023-07-03 08:17:15.735220,-0.5169999999998254,2G,30,0.02,-10,15,30,5,15,5,30,10,4.654128
30693.28,2023-07-03 08:17:16.575834,30693.21,2023-07-03 08:17:17.396248,-0.006999999999970897,2G,30,0.02,-10,15,30,5,15,5,30,10,6.049664
30693.33,2023-07-03 08:17:17.957865,30693.02,2023-07-03 08:17:18.809614,-0.031000000000130968,2G,30,0.02,-10,15,30,5,15,5,30,10,7.692221
30693.29,2023-07-03 08:17:19.780797,30674.77,2023-07-03 08:18:29.498522,-1.8520000000000438,1P,30,0.02,-10,15,30,5,15,5,30,10,9.119611
30652.07,2023-07-03 08:19:09.052393,30647.82,2023-07-03 08:19:22.187769,-0.42500000000000004,1P,30,0.02,-10,15,30,5,15,5,30,10,4.026619
30652.17,2023-07-03 08:19:22.787909,30643.98,2023-07-03 08:19:23.654864,-0.818999999999869,1P,30,0.02,-10,15,30,5,15,5,30,10,18.037586
30645.67,2023-07-03 08:19:24.571355,30633.93,2023-07-03 08:21:16.155009,-1.1739999999997963,1P,30,0.02,-10,15,30,5,15,5,30,10,19.553521
