Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Ganancia 0.01,Costo_Compra,Costo_Venta,Costo_xTrade
30781.55,50:44.1,30782.19,51:09.7,0.064,0.0064,0.3078155,0.3078219,0.9256374
30784.69,53:00.3,30787.86,53:35.0,0.317,0.0317,0.3078469,0.3078786,0.9257255
30790.5,54:01.6,30790.55,54:05.7,0.005,0.0005,0.307905,0.3079055,0.9258105
30763.17,58:19.2,30763.38,59:04.0,0.021,0.0021,0.3076317,0.3076338,0.9252655
30756.86,59:52.6,30770.23,00:57.7,1.337,0.1337,0.3075686,0.3077023,0.9252709
30773.37,02:21.0,30774.04,02:42.7,0.067,0.0067,0.3077337,0.3077404,0.9254741
30775.35,02:51.8,30778.98,03:39.3,0.363,0.0363,0.3077535,0.3077898,0.9255433
30780.42,04:39.0,30782.19,05:10.7,0.177,0.0177,0.3078042,0.3078219,0.9256261
30714.06,42:03.9,30726.61,43:41.4,1.255,0.1255,0.3071406,0.3072661,0.9244067
30689.65,46:41.6,30691.29,48:04.4,0.164,0.0164,0.3068965,0.3069129,0.9238094
30692,48:22.1,30699.46,49:28.8,0.746,0.0746,0.30692,0.3069946,0.9239146
30700.33,49:33.2,30701.19,49:55.0,0.086,0.0086,0.3070033,0.3070119,0.9240152
30701,53:04.0,30704.56,55:07.7,0.356,0.0356,0.30701,0.3070456,0.9240556
30676,00:48.4,30687.05,01:58.3,1.105,0.1105,0.30676,0.3068705,0.9236305
30675.68,06:25.6,30676.44,07:58.6,0.076,0.0076,0.3067568,0.3067644,0.9235212
30673.28,09:52.1,30688.32,11:51.9,1.504,0.1504,0.3067328,0.3068832,0.923616
30692.74,29:20.8,30695.71,30:20.4,0.297,0.0297,0.3069274,0.3069571,0.9238845
30678.1,35:43.6,30685.85,37:20.4,0.775,0.0775,0.306781,0.3068585,0.9236395
30689.85,44:16.3,30690.54,46:21.8,0.069,0.0069,0.3068985,0.3069054,0.9238039
30682.03,48:01.8,30682.74,50:04.7,0.071,0.0071,0.3068203,0.3068274,0.9236477
30675.98,53:26.3,30679.24,54:53.5,0.326,0.0326,0.3067598,0.3067924,0.9235522
30670.77,58:49.6,30673.61,59:42.2,0.284,0.0284,0.3067077,0.3067361,0.9234438
30675.15,00:26.1,30675.98,01:09.9,0.083,0.0083,0.3067515,0.3067598,0.9235113
30665.72,04:45.8,30675.56,07:31.9,0.984,0.0984,0.3066572,0.3067556,0.9234128
30667.49,09:51.9,30670.28,11:08.0,0.279,0.0279,0.3066749,0.3067028,0.9233777
30635.81,14:38.4,30643.99,15:17.5,0.818,0.0818,0.3063581,0.3064399,0.922798
30646.48,15:22.4,30651.79,16:05.6,0.531,0.0531,0.3064648,0.3065179,0.9229827
30652.48,19:03.0,30659.38,20:30.9,0.69,0.069,0.3065248,0.3065938,0.9231186
30633.49,23:25.7,30634.13,24:17.8,0.064,0.0064,0.3063349,0.3063413,0.9226762
30635.05,25:24.0,30646.46,26:17.4,1.141,0.1141,0.3063505,0.3064646,0.9228151
30636.03,28:28.4,30642.66,29:34.1,0.663,0.0663,0.3063603,0.3064266,0.9227869
30651.06,56:16.2,30656.02,56:55.4,0.496,0.0496,0.3065106,0.3065602,0.9230708
30642.01,58:32.4,30649.05,00:09.3,0.704,0.0704,0.3064201,0.3064905,0.9229106
30645.55,01:15.2,30650.47,02:03.2,0.492,0.0492,0.3064555,0.3065047,0.9229602
30654.04,02:21.0,30658.02,02:47.4,0.398,0.0398,0.3065404,0.3065802,0.9231206
30661.47,03:31.8,30664.93,04:02.5,0.346,0.0346,0.3066147,0.3066493,0.923264
30643.76,10:33.0,30649.99,11:17.4,0.623,0.0623,0.3064376,0.3064999,0.9229375
30648.48,15:35.6,30652.48,16:11.1,0.4,0.04,0.3064848,0.3065248,0.9230096
30655.28,16:50.5,30679.52,17:52.5,2.424,0.2424,0.3065528,0.3067952,0.923348
30677.72,19:02.6,30683.75,19:42.0,0.603,0.0603,0.3067772,0.3068375,0.9236147
30672.62,21:01.4,30675.78,22:11.7,0.316,0.0316,0.3067262,0.3067578,0.923484
30676.67,22:16.4,30684.16,22:55.8,0.749,0.0749,0.3067667,0.3068416,0.9236083
30675.62,24:58.3,30677.91,26:22.0,0.229,0.0229,0.3067562,0.3067791,0.9235353
30681.65,26:26.3,30684.99,26:52.2,0.334,0.0334,0.3068165,0.3068499,0.9236664
30684.68,28:02.1,30688,28:59.0,0.332,0.0332,0.3068468,0.30688,0.9237268
30689.58,29:08.2,30712.61,29:47.1,2.303,0.2303,0.3068958,0.3071261,0.9240219
30669.34,33:57.8,30684.64,35:33.8,1.53,0.153,0.3066934,0.3068464,0.9235398
30689.72,35:47.4,30718.86,36:44.1,2.914,0.2914,0.3068972,0.3071886,0.9240858
30717.48,38:11.5,30718,38:50.4,0.052,0.0052,0.3071748,0.30718,0.9243548
30720.33,39:03.9,30746.16,40:00.1,2.583,0.2583,0.3072033,0.3074616,0.9246649
30749.41,40:09.3,30756.46,40:26.4,0.705,0.0705,0.3074941,0.3075646,0.9250587
30726.08,43:37.1,30729.3,44:38.7,0.322,0.0322,0.3072608,0.307293,0.9245538
30716,46:05.6,30718.49,46:49.5,0.249,0.0249,0.30716,0.3071849,0.9243449
30715.96,47:28.9,30715.97,48:17.3,0.001,0.0001,0.3071596,0.3071597,0.9243193
30690.01,50:32.4,30693.25,50:37.1,0.324,0.0324,0.3069001,0.3069325,0.9238326
30661.06,55:13.6,30663.17,56:05.9,0.211,0.0211,0.3066106,0.3066317,0.9232423
30658.99,57:33.6,30663.74,58:25.9,0.475,0.0475,0.3065899,0.3066374,0.9232273
