Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
1948.05,2023-07-03 05:41:33.181271,1947.9,2023-07-03 05:42:10.579276,-0.014999999999986358
1947.91,2023-07-03 05:42:55.845561,1947.27,2023-07-03 05:43:22.671084,-0.06400000000001001
1946.88,2023-07-03 05:47:59.700212,1946.66,2023-07-03 05:49:15.170891,-0.02200000000000273
1946.22,2023-07-03 05:53:18.744878,1946.21,2023-07-03 05:55:07.589465,-0.0009999999999990906
1946.56,2023-07-03 05:55:39.976139,1946.5,2023-07-03 05:56:20.732614,-0.0059999999999945436
1945.68,2023-07-03 05:58:09.596544,1945.4,2023-07-03 06:00:07.794440,-0.027999999999997274
1946.5,2023-07-03 06:02:00.171359,1946.38,2023-07-03 06:02:05.738620,-0.011999999999989087
1946.5,2023-07-03 06:02:44.842414,1946.48,2023-07-03 06:02:55.918711,-0.001999999999998181
1946.42,2023-07-03 06:03:55.019476,1946.0,2023-07-03 06:04:05.859173,-0.04200000000000728
1946.74,2023-07-03 06:08:57.348721,1946.35,2023-07-03 06:09:02.582396,-0.039000000000010006
1946.36,2023-07-03 06:09:03.451420,1946.35,2023-07-03 06:09:03.903937,-0.0009999999999990906
1945.37,2023-07-03 06:09:45.772682,1944.93,2023-07-03 06:11:37.300495,-0.04399999999998272
1944.17,2023-07-03 06:12:50.700552,1943.81,2023-07-03 06:13:49.707224,-0.03600000000001274
1944.98,2023-07-03 06:18:04.671621,1944.96,2023-07-03 06:18:25.972247,-0.001999999999998181
1944.51,2023-07-03 06:22:17.957438,1944.08,2023-07-03 06:22:45.107802,-0.043000000000006366
1944.1,2023-07-03 06:22:50.609341,1943.47,2023-07-03 06:23:06.351765,-0.06299999999998818
1944.51,2023-07-03 06:24:38.332079,1944.46,2023-07-03 06:24:53.770783,-0.0049999999999954525
1950.13,2023-07-03 07:05:39.438247,1949.6,2023-07-03 07:05:50.248313,-0.05300000000002001
1949.9,2023-07-03 07:06:08.335904,1949.79,2023-07-03 07:06:19.248943,-0.011000000000012734
1950.25,2023-07-03 07:06:24.105693,1949.88,2023-07-03 07:06:51.086578,-0.03699999999998909
1949.89,2023-07-03 07:07:40.076803,1949.41,2023-07-03 07:08:01.813194,-0.04800000000000182
1954.0,2023-07-03 07:18:43.928969,1953.94,2023-07-03 07:18:44.381587,-0.0059999999999945436
